10Percentile,90Percentile,Energy,Entropy,InterquartileRange,Kurtosis,Maximum,MeanAbsoluteDeviation,Mean,Median,Minimum,Range,RobustMeanAbsoluteDeviation,RootMeanSquared,Skewness,TotalEnergy,Uniformity,Variance,Elongation,Flatness,LeastAxisLength,MajorAxisLength,Maximum2DDiameterColumn,Maximum2DDiameterRow,Maximum2DDiameterSlice,Maximum3DDiameter,MeshVolume,MinorAxisLength,Sphericity,SurfaceArea,SurfaceVolumeRatio,VoxelVolume,Autocorrelation,ClusterProminence,ClusterShade,ClusterTendency,Contrast,Correlation,DifferenceAverage,DifferenceEntropy,DifferenceVariance,Id,Idm,Idmn,Idn,Imc1,Imc2,InverseVariance,JointAverage,JointEnergy,JointEntropy,MCC,MaximumProbability,SumAverage,SumEntropy,SumSquares,GrayLevelNonUniformity,GrayLevelNonUniformityNormalized,GrayLevelVariance,HighGrayLevelZoneEmphasis,LargeAreaEmphasis,LargeAreaHighGrayLevelEmphasis,LargeAreaLowGrayLevelEmphasis,LowGrayLevelZoneEmphasis,SizeZoneNonUniformity,SizeZoneNonUniformityNormalized,SmallAreaEmphasis,SmallAreaHighGrayLevelEmphasis,SmallAreaLowGrayLevelEmphasis,ZoneEntropy,ZonePercentage,ZoneVariance,HighGrayLevelRunEmphasis,LongRunEmphasis,LongRunHighGrayLevelEmphasis,LongRunLowGrayLevelEmphasis,LowGrayLevelRunEmphasis,RunEntropy,RunLengthNonUniformity,RunLengthNonUniformityNormalized,RunPercentage,RunVariance,ShortRunEmphasis,ShortRunHighGrayLevelEmphasis,ShortRunLowGrayLevelEmphasis,Busyness,Coarseness,Complexity,Strength,DependenceEntropy,DependenceNonUniformity,DependenceNonUniformityNormalized,DependenceVariance,HighGrayLevelEmphasis,LargeDependenceEmphasis,LargeDependenceHighGrayLevelEmphasis,LargeDependenceLowGrayLevelEmphasis,LowGrayLevelEmphasis,SmallDependenceEmphasis,SmallDependenceHighGrayLevelEmphasis,SmallDependenceLowGrayLevelEmphasis,Label
26,114,9920149104,2.215993106,50,2.228713893,182,26.60975103,77.0344471,83,1,181,20.59655398,83.31617237,-0.559070233,9920149104,0.234540562,1007.278538,0.740594686,0.675305013,108.4157007,160.543308,167.725967,183.1747799,145.8252379,184.3827541,1428824.25,118.8975207,0.738539595,83067.19564,0.058136748,1429090,14.60269027,85.07708558,-8.977351818,6.04895953,0.022444349,0.848543357,0.409647058,1.126689774,0.32239513,0.80878278,0.803701599,0.992518322,0.955416935,-0.396862818,0.904612424,0.340739466,3.635127376,0.125681245,3.524895888,0.850931591,0.253072212,7.270254751,2.993093897,1.635995999,335179.5711,0.223979865,1.678507149,17.78624174,184383987.8,3185776537,18916906.25,0.337739587,674.5973572,0.262183194,0.524036536,9.829860181,0.154239593,5.197182655,0.001800446,184075498.9,11.89867055,18.57973754,348.9107911,2.682947851,0.194387338,4.574936605,164214.9748,0.294992551,0.381352038,11.24628418,0.546031479,5.685521377,0.114321071,2961.114025,1.16E-05,6.473959004,0.000242567,6.277869122,76293.90721,0.053386356,42.09950245,14.63769602,333.9914995,5838.802303,51.75598954,0.173777429,0.007553037,0.093699999,0.001791323,1
29,135,15531884202,2.539379162,65,1.872847396,255,32.97442573,86.99341851,92,2,253,26.44958409,95.08250581,-0.262257519,15531884202,0.181666206,1472.828049,0.794215782,0.681252304,114.3776735,167.8932648,178.3143292,191.637679,158.6474078,196.5527919,1717820.125,133.3434806,0.66074932,104978.2165,0.061111297,1717999,18.41975718,161.8707237,-8.170571287,9.010272348,0.01401164,0.86990933,0.495633884,1.234172363,0.373519575,0.772515517,0.765197501,0.994930949,0.959518724,-0.391719975,0.924714933,0.394583772,4.040261968,0.078764457,4.071386916,0.875522689,0.157478956,8.080523937,3.403085065,2.409170312,312102.3607,0.184111081,2.443811261,19.26023392,139038676.1,2859273519,11832407.52,0.443094573,668.4253057,0.177678178,0.4206271,8.392971666,0.170850166,5.940952565,0.002189757,138830127,16.08802934,10.83327726,251.8920909,1.233963774,0.15672286,4.659012027,259115.8812,0.330396192,0.447193105,5.533257171,0.582064693,8.629261204,0.09310656,1663.03419,1.07E-05,20.1888188,0.000667436,6.802926382,81982.84527,0.047719961,35.94030212,18.45961028,272.2687935,5961.573109,34.85470497,0.14479755,0.008927376,0.141192087,0.001836603,1
28,91,7967085514,1.826884298,38,2.15548243,119,19.94755163,64.63356633,70,4,115,15.456535,68.75567531,-0.543747038,6564676174,0.313191365,549.8449908,0.788974665,0.688982426,106.7739185,154.9733555,160.5097471,172.5636771,145.8317336,176.6285828,1388348.396,122.2700512,0.726103284,82886.6713,0.059701637,1388660.889,10.41714144,28.88187695,-4.43902492,3.433810602,0.020699904,0.841145771,0.277870315,0.887819864,0.216475872,0.864071879,0.862884457,0.988761084,0.95411969,-0.436949882,0.888118164,0.262190975,3.103656092,0.203398497,2.831731496,0.8426808,0.371541736,6.207312184,2.507088553,0.932469264,527827.6712,0.29133458,0.948540638,9.887339056,471035020.3,5850264925,50912512.02,0.522718616,308.8948498,0.165716121,0.408611034,4.282104283,0.191477663,5.659410027,0.001106021,470217548.2,8.449816512,36.59986837,478.755513,5.210461522,0.22332696,4.741468833,99360.67672,0.20286534,0.282255732,22.82299549,0.419269785,3.057325,0.107017913,6140.40413,9.75E-06,2.11572053,8.03E-05,5.643980386,136091.7209,0.080751264,35.60756898,10.44026832,422.1762906,4974.195585,70.42172066,0.18784456,0.004683719,0.040950068,0.001369854,1
31,110,11664586924,2.164308801,44,2.278035594,139,24.09812837,77.11981349,83,2,137,18.28475136,82.32098544,-0.58131657,9611323454,0.244207524,829.2790123,0.792908311,0.687857801,107.4459753,156.2037608,168.1290659,174.7501006,145.1218507,179.0821324,1418046.055,123.8552601,0.723737774,84339.25775,0.059475683,1418280.304,14.45361542,68.47344326,-7.433118015,5.262060774,0.027479597,0.839270041,0.394469259,1.089283955,0.299367229,0.813222377,0.809252362,0.987875281,0.944789039,-0.390648864,0.897620124,0.341057329,3.640453933,0.12704021,3.455774866,0.840204594,0.223920608,7.280907866,2.95464901,1.430360931,420346.3515,0.232627669,1.464586752,13.65162809,280809942.6,4649899519,24958174.15,0.41256484,555.3805414,0.217881735,0.472546957,6.894828354,0.169168747,5.552435003,0.001480886,280353951,12.19268404,16.10922652,279.359248,2.219480806,0.176400238,4.622764077,177411.7488,0.268671149,0.374998542,8.51160907,0.512774684,5.384966393,0.102515209,5170.874488,8.95E-06,3.921770534,0.000108825,6.351989101,85179.91216,0.049486751,37.5071004,14.49226239,335.0709082,5624.700198,45.3430519,0.154103576,0.006782194,0.079814957,0.001611265,1
32,121,11956101422,2.309240381,55,1.959339516,148,27.78474531,82.55255424,89,3,145,21.95570447,88.69295917,-0.413779385,9851523999,0.226040644,1051.516796,0.789448554,0.667733045,101.1647077,151.5047195,162.1983378,170.7820363,138.5630074,174.0369707,1252164.619,119.6051818,0.718802923,78159.52458,0.062419528,1252348.297,16.13379218,88.01688187,-7.014786837,6.283863377,0.032734142,0.85396792,0.419815096,1.121900269,0.313055511,0.802115132,0.797566698,0.986969497,0.941340756,-0.399180969,0.912665299,0.358517851,3.832288141,0.114848053,3.679257393,0.858153013,0.25085729,7.664576282,3.142094453,1.694618195,343556.237,0.20812364,1.723689772,14.91307783,203154607.9,3684951092,16387546.94,0.485868234,442.2580008,0.174736468,0.418572933,6.468424513,0.188723954,5.672000027,0.001665255,202793997.5,14.16733955,14.66703552,278.473794,1.621950636,0.153207732,4.700908084,177717.8699,0.288452084,0.395885909,7.824024459,0.536631008,6.851631299,0.089603338,4394.183445,1.13E-05,3.602120018,0.000131108,6.541294839,72508.93877,0.047706796,37.17023652,16.16334175,316.2929619,5811.911319,37.22067911,0.135442955,0.007262095,0.100279751,0.001568205,1
29,93,7391598058,1.806862102,39,2.179940816,141,19.97654215,65.93243511,71,2,139,15.59311385,70.02299059,-0.561708804,6090489122,0.320795478,556.1332115,0.791939065,0.679927168,101.8054638,149.7299544,146.5411765,166.4663184,144.4145644,169.5968335,1241881.931,118.577,0.728764668,76668.50966,0.061735748,1242140.9,10.60898612,28.43213528,-4.526620905,3.342283317,0.013392488,0.836267804,0.279922487,0.890186554,0.217023377,0.862994031,0.861825267,0.992025796,0.960329038,-0.43131444,0.883447213,0.264500587,3.138126541,0.210064242,2.808947629,0.837872013,0.384253363,6.276253082,2.483574195,0.910017875,483598.8627,0.294058781,0.926557738,11.25739459,454707450.5,5733947282,48597199.38,0.449858926,283.5147892,0.178423404,0.423942795,5.213605295,0.166645612,5.535996085,0.001054064,453807401.3,8.535902381,36.18395217,476.5544011,5.079788822,0.218021369,4.694358078,92837.60007,0.209968364,0.284850808,22.65589032,0.430460253,3.140623619,0.108333037,3943.6577,1.09E-05,3.472051559,0.000146534,5.588222482,125230.3333,0.083071586,36.30362127,10.63251717,420.2237156,5066.047065,66.60967029,0.180837723,0.004709233,0.042652213,0.001301605,1
32,124,10872850141,2.381540844,54,2.173728261,155,28.30400547,84.36554942,91,1,154,22.13813861,90.79167132,-0.516240461,10872850141,0.214327665,1125.581651,0.780961412,0.695693383,105.6798787,151.9058271,165.6562706,170.5197936,140.8687332,172.4818831,1318782.25,118.6325893,0.74606807,77950.88786,0.059108233,1319020,16.94127155,111.0862775,-9.028750513,6.839878698,0.028017643,0.848602264,0.46094137,1.180817427,0.341376321,0.785206546,0.779379912,0.989066952,0.943726727,-0.380921409,0.90984674,0.381740924,3.920605134,0.100869428,3.83224586,0.852566027,0.228952426,7.841210268,3.230398307,1.849872431,282702.4767,0.198635077,1.891889887,16.27515015,136953302.1,2605518517,10520180.07,0.421638703,710.5307808,0.266715759,0.531188838,9.056585316,0.205040609,5.062182515,0.002019681,136708150.7,15.05981954,12.26685104,239.6603978,1.662912825,0.153731458,4.635065352,179332.7179,0.312882623,0.42587218,6.428851866,0.563532317,7.730964628,0.093143069,2940.300369,1.24E-05,5.870556612,0.000201545,6.630920542,62678.87616,0.047519277,36.34161201,16.97459174,290.02124,5615.642503,38.71855095,0.143096556,0.008535988,0.126174684,0.001845886,1
28,107,8464368917,2.166702479,43,2.342174752,133,23.74843497,73.71133513,80,2,131,18.00539795,79.03829813,-0.599580628,8464368917,0.244145814,813.6916446,0.773486976,0.652674404,103.161588,158.0598034,171.2921481,180.055547,143.0034965,181.4414506,1354716,122.2571993,0.705096054,83972.03545,0.061984974,1354938,13.52269238,65.95774508,-6.769087085,5.174402336,0.027920255,0.832205579,0.405512428,1.103106827,0.304402438,0.808189942,0.804032739,0.98750851,0.943264634,-0.382067546,0.893870407,0.349591729,3.513887551,0.123203775,3.479655869,0.832808166,0.250995429,7.027775101,2.967118384,1.411959789,330802.4405,0.235172157,1.440440967,10.63229572,214647672,3266087221,21106574.29,0.444801259,523.1488327,0.254449821,0.516659771,6.322505833,0.196364361,5.227447755,0.001517413,214213369.2,11.6019442,14.60296765,233.2583814,2.29526627,0.186862176,4.566770996,146187.7789,0.273551584,0.38567595,7.411347276,0.5195254,5.261324499,0.105916013,4356.40286,1.09E-05,4.056521966,0.000132732,6.379959698,65409.75788,0.048275093,37.05290851,13.57041872,325.1161293,5077.454381,50.77634977,0.170259331,0.007115505,0.078142673,0.001747608,1
27,127,10503420728,2.467112746,57,2.161723054,157,30.06406038,84.8874542,92,1,156,23.35343299,92.12507673,-0.533849226,10503420728,0.194840306,1281.149882,0.878278868,0.707737913,101.3620021,143.2196867,157.0127383,157.6642001,141.8731828,163.5145253,1237321.792,125.7868242,0.73258648,76081.72188,0.061489034,1237585,17.52420693,148.0078052,-10.85150366,8.00123663,0.034176997,0.852492244,0.49625657,1.245833562,0.383097585,0.773715586,0.765838332,0.987660988,0.939862745,-0.378493813,0.914273247,0.387588473,3.960167507,0.085256454,3.975952234,0.855157999,0.178840101,7.920335015,3.320217423,2.159411995,241131.44,0.191676217,2.210079546,15.75267666,157064227.5,3036082977,15747773.67,0.388739266,493.5246253,0.264199478,0.527907844,9.267978763,0.177810619,5.222429255,0.001509391,156625296.5,15.31569901,10.80282209,222.2332241,1.745035517,0.166119457,4.592947558,185003.3718,0.330721582,0.44348152,5.430193604,0.584018381,8.01854847,0.100995552,2872.613254,1.34E-05,6.060109363,0.000216553,6.715262834,57838.19485,0.046734725,37.45453243,17.56860498,276.7593588,5677.457246,44.08353084,0.161504689,0.009000909,0.128580366,0.001874146,1
36,120,9717555863,2.27541404,48,2.302947897,150,25.89207343,82.91408702,88,1,149,19.59325993,88.53828036,-0.520480009,9717555863,0.233940052,964.2812637,0.739660097,0.666080648,102.5625304,153.9791476,165.3390456,173.3493582,136.7515996,176.3264019,1239345.5,113.8922312,0.739410235,75461.75993,0.060888396,1239638,16.18139856,83.19167832,-7.601228548,5.735067919,0.022361891,0.840903332,0.421928017,1.121990774,0.311938304,0.800722694,0.796333196,0.990288328,0.94825723,-0.385209481,0.903632709,0.362566042,3.856335329,0.11823705,3.644412709,0.844752424,0.243599006,7.712670658,3.100881901,1.557516994,290000.9783,0.211863451,1.601092471,17.84612505,132236579.2,2404071511,9987758.998,0.371734626,611.3279671,0.228876064,0.4836925,8.859718234,0.169275037,5.237601362,0.002154661,132021181.1,14.23777026,14.79991372,285.9584744,1.568837937,0.152360012,4.674756857,146967.4264,0.290039519,0.399444155,8.090777734,0.536723485,6.97130089,0.089017401,2648.931095,1.31E-05,5.702904274,0.000216921,6.502847808,59766.15101,0.048212584,36.62365075,16.1931217,312.6636647,5761.239514,36.50686043,0.134612652,0.007775021,0.11363363,0.00162698,1
